Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,"Contract, UI & Routing\Core\SoftwareCenter.Core.csproj",File,"Contract, UI & Routing\Core\SoftwareCenter.Core.csproj",,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Host\SoftwareCenter.Host.csproj,File,Host\SoftwareCenter.Host.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Host\SoftwareCenter.Host.csproj,File,Host\Program.cs,103,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Host\SoftwareCenter.Host.csproj,File,Host\Program.cs,72,8,"M:System.Text.Json.JsonSerializer.Deserialize(System.Text.Json.JsonElement,System.Type,System.Text.Json.JsonSerializerOptions)",,,,,"var command = payload.Deserialize(commandType, new JsonSerializerOptions { PropertyNameCaseInsensitive = true });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Host\SoftwareCenter.Host.csproj,File,Host\Program.cs,24,0,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,builder.Logging.AddConsole();
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,"Contract, UI & Routing\Kernel\SoftwareCenter.Kernel.csproj",File,"Contract, UI & Routing\Kernel\SoftwareCenter.Kernel.csproj",,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,"Contract, UI & Routing\Kernel\SoftwareCenter.Kernel.csproj",File,"Contract, UI & Routing\Kernel\Services\JobSchedulerService.cs",63,51,M:System.TimeSpan.FromSeconds(System.Double),,,,,delay = TimeSpan.FromSeconds(0);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,"Contract, UI & Routing\Kernel\SoftwareCenter.Kernel.csproj",File,"Contract, UI & Routing\Kernel\Services\JobSchedulerService.cs",62,17,M:System.TimeSpan.FromSeconds(System.Double),,,,,var delay = TimeSpan.FromMinutes(1) - TimeSpan.FromSeconds(now.Second);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,"Contract, UI & Routing\Kernel\SoftwareCenter.Kernel.csproj",File,"Contract, UI & Routing\Kernel\Services\JobSchedulerService.cs",62,17,M:System.TimeSpan.FromMinutes(System.Double),,,,,var delay = TimeSpan.FromMinutes(1) - TimeSpan.FromSeconds(now.Second);
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\AI.Agent\SoftwareCenter.Module.AI.Agent.csproj,File,Modules\AI.Agent\SoftwareCenter.Module.AI.Agent.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\AppManager\SoftwareCenter.Module.AppManager.csproj,File,Modules\AppManager\SoftwareCenter.Module.AppManager.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\CredManager\SoftwareCenter.Module.CredManager.csproj,File,Modules\CredManager\SoftwareCenter.Module.CredManager.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\DBManager\SoftwareCenter.Module.DBManager.csproj,File,Modules\DBManager\SoftwareCenter.Module.DBManager.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\LogNotifManager\SoftwareCenter.Module.LogNotifManager.csproj,File,Modules\LogNotifManager\SoftwareCenter.Module.LogNotifManager.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Modules\SourceManager\SoftwareCenter.Module.SourceManager.csproj,File,Modules\SourceManager\SoftwareCenter.Module.SourceManager.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,"Contract, UI & Routing\UIManager\SoftwareCenter.UIManager.csproj",File,"Contract, UI & Routing\UIManager\SoftwareCenter.UIManager.csproj",,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
